City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
135,Taltal,-25.4,-70.4833,69.44,66,1,8.01,CL,clear sky
136,Barrow,71.2906,-156.7887,-9.4,70,1,24.16,US,mist
137,Iqaluit,63.7506,-68.5145,-2.0,71,40,29.93,CA,snow
138,Katsuura,35.1333,140.3,62.01,92,97,1.01,JP,light rain
139,Luderitz,-26.6481,15.1594,72.84,56,0,13.33,NA,clear sky
140,Sanchor,24.7553,71.7722,85.46,38,0,10.29,IN,clear sky
141,Tarpon Springs,28.1461,-82.7568,81.0,78,1,10.36,US,clear sky
142,Nago,26.5881,127.9761,71.6,88,20,3.44,JP,light rain
143,Dongning,44.0622,131.1207,37.54,77,35,4.34,CN,scattered clouds
144,Sao Joao Da Barra,-21.6403,-41.0511,80.6,78,0,4.61,BR,clear sky
145,Praia Da Vitoria,38.7333,-27.0667,64.4,72,20,11.7,PT,few clouds
146,Nome,64.5011,-165.4064,21.99,93,90,9.22,US,light snow
147,Fukue,32.6881,128.8419,59.65,60,100,15.64,JP,overcast clouds
148,La Ronge,55.1001,-105.2842,5.0,61,99,11.5,CA,overcast clouds
149,Wamba,8.9333,8.6,100.6,10,75,6.67,NG,broken clouds
150,Sorland,67.667,12.6934,44.6,75,75,16.11,NO,broken clouds
151,Son La,21.3167,103.9,77.31,32,49,2.98,VN,scattered clouds
152,Paraiso,9.8383,-83.8656,82.4,64,40,18.41,CR,scattered clouds
153,Namibe,-15.1961,12.1522,84.2,65,75,12.66,AO,light rain
154,Pishin,30.5803,66.9961,60.31,15,0,9.57,PK,clear sky
155,Catamarca,-28.4696,-65.7852,78.01,65,0,1.99,AR,clear sky
156,Shiraz,29.6036,52.5388,75.2,12,0,9.22,IR,clear sky
157,Bundaberg,-24.85,152.35,70.0,88,40,6.91,AU,scattered clouds
158,Kralendijk,12.15,-68.2667,84.2,74,75,24.16,BQ,broken clouds
159,Faya,18.3851,42.4509,73.4,33,20,11.5,SA,few clouds
160,Seredeyskiy,54.0507,35.2318,36.52,91,100,9.82,RU,light rain
161,Moose Factory,51.2585,-80.6094,46.4,57,1,13.8,CA,clear sky
162,Mount Isa,-20.7333,139.5,80.6,28,35,13.8,AU,light rain
163,Victoria,22.2855,114.1577,79.0,86,29,6.82,HK,scattered clouds
164,Tetiyiv,49.3767,29.6647,50.38,52,100,0.81,UA,overcast clouds
165,Lillehammer,61.1146,10.4674,45.63,83,28,1.7,NO,scattered clouds
166,Yar-Sale,66.8333,70.8333,-7.91,90,88,9.22,RU,overcast clouds
167,Cherskiy,68.75,161.3,-12.26,99,34,5.41,RU,scattered clouds
168,Kulhudhuffushi,6.6221,73.07,84.45,66,25,5.17,MV,scattered clouds
169,Vila Velha,-20.3297,-40.2925,88.0,74,20,18.41,BR,few clouds
170,Poitiers,46.5833,0.3333,75.99,29,0,5.75,FR,clear sky
171,Hasaki,35.7333,140.8333,59.0,88,75,9.22,JP,light rain
172,Falam,22.9167,93.6833,58.77,74,77,2.53,MM,broken clouds
173,Caravelas,-17.7125,-39.2481,86.58,52,0,11.18,BR,clear sky
174,Half Moon Bay,37.4636,-122.4286,57.2,30,1,10.36,US,clear sky
175,Thompson,55.7435,-97.8558,-0.4,55,75,21.85,CA,snow
176,Balabac,7.9868,117.0645,81.3,77,28,4.54,PH,scattered clouds
177,Takoradi,4.8845,-1.7554,84.24,71,100,12.91,GH,light rain
178,Hambantota,6.1241,81.1185,78.8,100,75,6.15,LK,broken clouds
179,Coos Bay,43.3665,-124.2179,35.6,93,1,3.44,US,clear sky
180,Gamba,-2.65,10.0,79.75,79,100,6.44,GA,overcast clouds
181,Pevek,69.7008,170.3133,-12.3,99,99,8.32,RU,overcast clouds
182,Victor Harbor,-35.5667,138.6167,66.0,87,31,5.46,AU,scattered clouds
183,Beni,0.5,29.4667,69.51,83,100,2.13,CD,overcast clouds
184,Sisimiut,66.9395,-53.6735,28.58,79,100,16.69,GL,light snow
185,Kloulklubed,7.0419,134.2556,77.0,100,75,4.61,PW,broken clouds
186,Znamenka,52.4167,41.4311,31.5,93,78,7.23,RU,broken clouds
187,Oranjemund,-28.55,16.4333,67.87,70,0,12.44,NA,clear sky
188,Upernavik,72.7868,-56.1549,16.74,66,100,7.2,GL,overcast clouds
189,Turbat,26.0023,63.044,86.88,10,51,23.02,PK,broken clouds
190,Alice Springs,-23.7,133.8833,64.4,48,0,5.75,AU,clear sky
191,Pingliang,35.5392,106.6861,53.35,81,100,11.1,CN,overcast clouds
192,Iquitos,-3.7481,-73.2472,77.0,88,75,5.75,PE,broken clouds
193,Nuuk,64.1835,-51.7216,39.2,65,90,29.93,GL,light snow
194,Acari,-15.4311,-74.6158,77.68,63,90,7.63,PE,overcast clouds
195,Nantucket,41.2835,-70.0995,48.2,46,1,9.22,US,clear sky
196,Beaufort,5.3473,115.7455,78.8,94,20,0.85,MY,few clouds
197,Staraya Poltavka,50.4772,46.4814,40.48,47,0,9.42,RU,clear sky
198,Bandarbeyla,9.4942,50.8122,80.19,60,100,8.63,SO,overcast clouds
199,Chulman,56.8479,124.9104,-6.29,99,47,1.3,RU,scattered clouds
200,Minsk,53.9,27.5667,48.2,93,90,6.71,BY,mist
201,Chuy,-33.6971,-53.4616,70.18,59,84,12.28,UY,broken clouds
202,Mikuni,36.2171,136.1519,46.4,81,0,2.3,JP,clear sky
203,Udachnyy,66.4167,112.4,8.35,99,90,0.6,RU,overcast clouds
204,Whitecourt,54.1502,-115.6855,10.4,79,1,4.61,CA,clear sky
205,Sao Filipe,14.8961,-24.4956,70.3,74,1,11.01,CV,clear sky
206,Olinda,-8.0089,-34.8553,82.4,69,40,10.36,BR,scattered clouds
207,Denpasar,-8.65,115.2167,80.6,94,75,11.5,ID,broken clouds
208,Jardim,-21.4803,-56.1381,86.56,46,2,6.87,BR,clear sky
209,Mogadishu,2.0371,45.3438,84.2,61,40,8.05,SO,scattered clouds
210,Doha,25.2867,51.5333,82.4,18,0,12.66,QA,clear sky
211,Cambrils,41.0748,1.0524,64.4,36,0,5.75,ES,clear sky
212,Cabo San Lucas,22.8909,-109.9124,72.0,24,40,2.3,MX,scattered clouds
213,Aklavik,68.2191,-135.0107,-4.0,84,90,6.91,CA,light snow
214,Lahaina,20.8783,-156.6825,70.0,100,1,3.44,US,clear sky
215,San Quintin,30.4833,-115.95,58.23,81,5,4.97,MX,clear sky
216,Manzhouli,49.6,117.4333,32.72,55,41,4.0,CN,scattered clouds
217,Qasigiannguit,68.8193,-51.1922,28.4,54,75,11.5,GL,broken clouds
218,Rio Grande,-32.035,-52.0986,75.2,69,40,16.11,BR,scattered clouds
219,Provideniya,64.3833,-173.3,5.2,91,100,7.87,RU,overcast clouds
220,Talcahuano,-36.7167,-73.1167,57.2,82,90,1.14,CL,overcast clouds
221,Marawi,7.9986,124.2928,78.01,91,100,4.0,PH,overcast clouds
222,Moranbah,-22.0016,148.0466,68.95,69,1,11.48,AU,clear sky
223,Rundu,-17.9333,19.7667,75.96,51,100,2.77,NA,overcast clouds
224,Mackay,-21.15,149.2,77.0,73,75,23.02,AU,broken clouds
225,Roald,62.5833,6.1333,41.0,93,75,4.61,NO,light rain
226,Beitbridge,-22.2167,30.0,83.64,38,99,11.54,ZW,overcast clouds
227,Ponta Delgada,37.7333,-25.6667,59.0,82,75,13.8,PT,broken clouds
228,Chunskiy,56.0815,99.6342,25.2,80,27,8.21,RU,scattered clouds
229,Nuevo Progreso,23.1667,-97.95,75.99,68,61,1.99,MX,broken clouds
230,Tual,-5.6667,132.75,83.5,74,92,8.99,ID,overcast clouds
231,Plettenberg Bay,-34.0527,23.3716,70.27,63,8,9.66,ZA,clear sky
232,Izhmorskiy,56.194,86.6414,23.41,93,100,9.64,RU,light snow
233,Tilichiki,60.4667,166.1,3.36,86,100,6.91,RU,overcast clouds
234,Muisne,0.6,-80.0333,78.8,94,75,8.05,EC,broken clouds
235,Hadgaon,19.5,77.6667,91.29,12,7,7.34,IN,clear sky
236,Qaqortoq,60.7167,-46.0333,41.0,45,75,21.85,GL,snow
237,Adrar,20.5022,-10.0711,99.91,5,85,11.12,MR,overcast clouds
238,Karuzi,-3.125,30.1333,65.5,91,99,2.59,BI,moderate rain
239,Kununurra,-15.7667,128.7333,71.6,88,30,3.44,AU,scattered clouds
240,Nikolayevka,53.1257,47.2041,28.44,95,10,3.47,RU,clear sky
241,Husavik,66.0449,-17.3389,33.8,64,20,14.97,IS,few clouds
242,Port Hedland,-20.3167,118.5667,82.4,74,40,3.44,AU,scattered clouds
243,Gandu,-13.7439,-39.4867,94.41,28,6,3.58,BR,clear sky
244,Mareeba,-17.0,145.4333,77.0,78,40,10.36,AU,scattered clouds
245,Bulembu,-25.9667,31.1333,68.0,73,48,6.91,SZ,light rain
246,Yima,34.7381,111.8839,62.01,99,100,8.25,CN,overcast clouds
247,Bambanglipuro,-7.95,110.2833,79.36,85,100,7.2,ID,overcast clouds
248,Abancay,-13.6339,-72.8814,50.0,81,75,8.05,PE,fog
249,Lethem,3.3803,-59.7968,82.4,78,40,13.8,GY,scattered clouds
250,Lagoa,39.05,-27.9833,57.72,78,95,14.67,PT,overcast clouds
251,Shimanovsk,52.0,127.7,28.54,83,27,7.36,RU,scattered clouds
252,Norman Wells,65.282,-126.8329,3.2,66,90,4.61,CA,light snow
253,Gravelbourg,49.8834,-106.5512,14.0,62,82,32.21,CA,broken clouds
254,Kolyshley,52.7005,44.5367,24.84,98,60,2.68,RU,broken clouds
255,Qianan,44.9932,124.0581,46.56,35,98,8.01,CN,overcast clouds
256,Vidalia,32.2177,-82.4135,62.6,72,90,4.61,US,overcast clouds
257,Vila Franca Do Campo,37.7167,-25.4333,59.0,82,75,13.8,PT,broken clouds
258,Mushie,-3.0167,16.9,81.73,70,64,5.82,CD,light rain
259,San Andres,12.5847,-81.7006,82.4,78,75,16.11,CO,broken clouds
260,Gazli,40.1333,63.45,54.73,36,5,5.44,UZ,clear sky
261,Waddan,29.1614,16.139,72.77,16,0,12.55,LY,clear sky
262,Pangnirtung,66.1451,-65.7125,-4.0,77,75,13.8,CA,broken clouds
263,Nemuro,43.3236,145.575,38.77,83,100,9.62,JP,overcast clouds
264,Rawah,34.4816,41.9093,71.85,14,2,3.71,IQ,clear sky
265,Poum,-20.2333,164.0167,79.52,73,99,17.67,NC,overcast clouds
266,Vilhena,-12.7406,-60.1458,84.2,54,75,8.05,BR,broken clouds
267,Mehamn,71.0357,27.8492,35.6,87,75,5.75,NO,light rain
268,Sao Felix Do Xingu,-6.6447,-51.995,87.55,61,18,2.59,BR,few clouds
269,Altay,47.8667,88.1167,22.28,55,51,7.02,CN,broken clouds
270,Abu Samrah,35.3029,37.1841,65.77,29,83,10.02,SY,broken clouds
271,Ust-Nera,64.5667,143.2,7.05,96,100,4.47,RU,overcast clouds
272,Eureka,40.8021,-124.1637,41.0,93,1,7.02,US,clear sky
273,Rovaniemi,66.5,25.7167,35.6,93,20,10.36,FI,few clouds
274,Fenelon Falls,44.5334,-78.7496,51.8,65,78,17.27,CA,broken clouds
275,Arraial Do Cabo,-22.9661,-42.0278,91.4,51,0,10.36,BR,clear sky
276,Guerrero Negro,27.9769,-114.0611,60.21,72,0,3.56,MX,clear sky
277,Yarim,14.298,44.3779,66.13,33,30,4.54,YE,scattered clouds
