City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Pisco,PE,2021-03-29 19:52:00,-13.7,-76.2167,75.2,64,0,12.66
155,Galiakot,IN,2021-03-29 19:52:00,23.5167,74.0,83.8,19,32,12.17
156,Yamethin,MM,2021-03-29 19:52:01,20.4333,96.15,76.33,31,0,6.4
157,Mountain Home,US,2021-03-29 19:47:05,43.133,-115.6912,42.8,24,40,20.71
158,Sitka,US,2021-03-29 19:52:01,57.0531,-135.33,33.8,100,90,3.44
159,Saint George,US,2021-03-29 19:52:01,37.1041,-113.5841,75.0,22,1,6.46
160,Honiara,SB,2021-03-29 19:52:02,-9.4333,159.95,78.3,84,55,2.95
161,Bilma,NE,2021-03-29 19:52:02,18.6853,12.9164,74.73,10,0,6.82
162,Feijo,BR,2021-03-29 19:52:02,-8.1642,-70.3536,80.47,90,100,2.17
163,Aksakovo,BG,2021-03-29 19:52:03,43.25,27.8167,46.0,61,0,3.44
164,Egvekinot,RU,2021-03-29 19:52:03,66.3167,-179.1667,5.41,79,100,15.73
165,Heyang,CN,2021-03-29 19:52:04,26.1011,107.473,64.02,98,48,2.91
166,Sambava,MG,2021-03-29 19:52:04,-14.2667,50.1667,78.13,89,100,3.51
167,Bilibino,RU,2021-03-29 19:52:04,68.0546,166.4372,-12.93,99,99,0.89
168,Pachino,IT,2021-03-29 19:52:05,36.7186,15.0907,51.8,87,40,2.3
169,Svetlogorsk,BY,2021-03-29 19:52:05,52.6333,29.7333,41.25,87,100,5.23
170,Brae,GB,2021-03-29 19:52:05,60.3964,-1.353,44.6,93,20,12.66
171,Uglovskoye,RU,2021-03-29 19:52:06,51.3557,80.1942,24.39,87,31,15.95
172,Shablykino,RU,2021-03-29 19:52:06,52.8566,35.1964,25.72,94,51,5.12
173,Ponta Do Sol,PT,2021-03-29 19:52:07,32.6667,-17.1,66.2,59,20,9.22
174,Dunedin,NZ,2021-03-29 19:49:02,-45.8742,170.5036,57.0,83,100,4.68
175,Quelimane,MZ,2021-03-29 19:52:07,-17.8786,36.8883,80.6,74,75,6.91
176,Gorontalo,ID,2021-03-29 19:47:09,0.5412,123.0595,75.81,92,100,1.99
177,Nome,US,2021-03-29 19:47:20,64.5011,-165.4064,33.01,93,90,8.05
178,Mandan,US,2021-03-29 19:52:08,46.8267,-100.8896,53.6,43,90,37.98
179,Bayburt,TR,2021-03-29 19:49:19,40.2589,40.2278,10.92,84,4,4.16
180,Ishigaki,JP,2021-03-29 19:52:08,24.3448,124.1572,75.85,91,4,12.66
181,Nanortalik,GL,2021-03-29 19:52:09,60.1432,-45.2371,28.45,53,81,5.53
182,Byron Bay,AU,2021-03-29 19:52:09,-28.65,153.6167,66.2,100,75,4.61
183,Kirakira,SB,2021-03-29 19:52:09,-10.4544,161.9205,80.71,81,100,5.64
184,Wanaka,NZ,2021-03-29 19:52:10,-44.7,169.15,53.02,83,98,0.63
185,San Francisco,US,2021-03-29 19:50:30,37.7749,-122.4194,63.0,58,20,19.57
186,Barrow,US,2021-03-29 19:52:10,71.2906,-156.7887,-5.8,71,1,27.63
187,Inhambane,MZ,2021-03-29 19:52:11,-23.865,35.3833,71.6,73,20,3.44
188,Reconquista,AR,2021-03-29 19:52:11,-29.15,-59.65,78.15,42,3,6.96
189,Arraial Do Cabo,BR,2021-03-29 19:47:15,-22.9661,-42.0278,91.4,70,20,8.05
190,Revelstoke,CA,2021-03-29 19:51:09,50.9832,-118.2023,35.6,38,90,14.97
191,Codrington,AU,2021-03-29 19:52:12,-38.2667,141.9667,51.62,85,95,3.6
192,Jonkoping,SE,2021-03-29 19:52:12,57.7814,14.1562,48.2,100,90,17.27
193,Guerrero Negro,MX,2021-03-29 19:52:12,27.9769,-114.0611,79.9,27,100,11.23
194,Polunochnoye,RU,2021-03-29 19:52:13,60.8697,60.4153,18.7,97,96,3.13
195,Progreso,MX,2021-03-29 19:52:13,21.2833,-89.6667,95.0,31,75,6.91
196,Peniche,PT,2021-03-29 19:52:13,39.3558,-9.3811,60.01,77,23,6.46
197,Burnie,AU,2021-03-29 19:52:14,-41.0667,145.9167,49.57,67,100,5.48
198,Tamandare,BR,2021-03-29 19:52:14,-8.7597,-35.1047,81.16,76,69,7.78
199,Hithadhoo,MV,2021-03-29 19:52:15,-0.6,73.0833,82.92,75,100,26.98
200,Ornskoldsvik,SE,2021-03-29 19:52:15,63.2909,18.7153,35.6,100,90,3.44
201,Loei,TH,2021-03-29 19:52:15,17.4167,101.5,82.99,64,11,5.12
202,Bartlesville,US,2021-03-29 19:49:02,36.7473,-95.9808,73.99,27,1,24.16
203,Yining,CN,2021-03-29 19:52:16,29.0361,114.5636,67.5,97,87,3.24
204,Itiuba,BR,2021-03-29 19:52:16,-10.6917,-39.8536,93.09,24,8,9.04
205,Veraval,IN,2021-03-29 19:52:17,20.9,70.3667,77.36,79,3,10.92
206,Luderitz,NA,2021-03-29 19:52:17,-26.6481,15.1594,63.28,82,0,7.63
207,Kruisfontein,ZA,2021-03-29 19:52:17,-34.0033,24.7314,66.99,82,34,7.0
208,Coruripe,BR,2021-03-29 19:52:18,-10.1256,-36.1756,80.35,77,89,8.5
209,Emba,KZ,2021-03-29 19:52:18,48.8264,58.1442,21.25,95,100,3.74
210,Chanika,TZ,2021-03-29 19:52:18,-5.4167,38.0167,68.13,98,97,2.98
211,Anadyr,RU,2021-03-29 19:52:19,64.75,177.4833,5.0,85,40,11.18
212,Nemuro,JP,2021-03-29 19:48:07,43.3236,145.575,39.06,85,89,20.98
213,San Cristobal,VE,2021-03-29 19:52:19,7.7669,-72.225,80.6,69,75,6.91
214,Chuy,UY,2021-03-29 19:52:20,-33.6971,-53.4616,70.43,80,71,9.95
215,Nakhon Thai,TH,2021-03-29 19:52:20,17.1006,100.8374,88.0,32,6,3.15
216,Ust-Kan,RU,2021-03-29 19:52:21,50.9276,84.761,13.59,83,10,6.93
217,Tasiilaq,GL,2021-03-29 19:52:21,65.6145,-37.6368,23.0,54,0,6.64
218,Kavieng,PG,2021-03-29 19:52:21,-2.5744,150.7967,82.0,78,89,12.88
219,Mackenzie,CA,2021-03-29 19:52:22,55.2999,-123.1698,24.8,54,20,8.05
220,Tazovskiy,RU,2021-03-29 19:52:22,67.4667,78.7,-5.21,88,100,4.68
221,Paraiso,CR,2021-03-29 19:52:22,9.8383,-83.8656,82.4,53,40,23.02
222,Caravelas,BR,2021-03-29 19:52:23,-17.7125,-39.2481,81.64,66,0,8.61
223,Lavrentiya,RU,2021-03-29 19:52:23,65.5833,-171.0,13.44,85,99,11.27
224,Lahat,ID,2021-03-29 19:52:23,-3.8,103.5333,71.98,98,80,2.1
225,Cabo San Lucas,MX,2021-03-29 19:48:34,22.8909,-109.9124,78.01,31,75,5.75
226,Nagato,JP,2021-03-29 19:52:24,34.3833,131.2,57.2,94,20,9.22
227,Sehithwa,BW,2021-03-29 19:52:24,-20.4667,22.7167,72.54,41,2,6.98
228,Iqaluit,CA,2021-03-29 19:52:25,63.7506,-68.5145,6.8,72,75,21.85
229,Airai,TL,2021-03-29 19:52:25,-8.9266,125.4092,59.4,98,100,4.18
230,Lompoc,US,2021-03-29 19:52:25,34.6391,-120.4579,64.0,77,0,16.11
231,Lagoa,PT,2021-03-29 19:52:26,39.05,-27.9833,58.23,85,100,17.27
232,Oistins,BB,2021-03-29 19:52:26,13.0667,-59.5333,82.4,61,40,23.02
233,Gander,CA,2021-03-29 19:52:27,48.9682,-54.5906,35.6,93,90,39.12
234,Jian,CN,2021-03-29 19:52:27,27.1172,114.9793,73.13,89,28,2.8
235,Katsuura,JP,2021-03-29 19:52:27,35.1333,140.3,59.0,94,40,5.75
236,Chapais,CA,2021-03-29 19:52:28,49.7834,-74.8492,19.4,63,75,19.57
237,Saint-Francois,FR,2021-03-29 19:52:28,46.4154,3.9054,53.6,54,0,4.61
238,Lahaina,US,2021-03-29 19:52:29,20.8783,-156.6825,77.0,61,40,5.75
239,Seoul,KR,2021-03-29 19:51:12,37.5683,126.9778,39.2,93,1,1.14
240,Champerico,GT,2021-03-29 19:52:29,14.3,-91.9167,93.2,52,75,4.61
241,Axim,GH,2021-03-29 19:52:29,4.8699,-2.2405,80.1,85,2,8.08
242,Chara,RU,2021-03-29 19:52:30,56.9064,118.2631,1.26,77,35,1.74
243,Tchibanga,GA,2021-03-29 19:52:30,-2.85,11.0333,71.78,95,92,0.58
244,Padang,ID,2021-03-29 19:52:31,-0.9492,100.3543,75.2,94,75,2.3
245,Loubomo,CG,2021-03-29 19:52:31,-4.1997,12.6739,71.62,96,87,2.42
246,Man,CI,2021-03-29 19:52:31,7.4125,-7.5538,74.35,88,8,2.57
247,Basco,PH,2021-03-29 19:52:32,20.4487,121.9702,79.45,83,17,10.71
248,Kilvelur,IN,2021-03-29 19:52:32,10.7672,79.7419,80.26,77,100,8.1
249,Mareeba,AU,2021-03-29 19:52:33,-17.0,145.4333,77.0,69,100,10.36
250,Bengkulu,ID,2021-03-29 19:52:33,-3.8004,102.2655,75.6,91,93,3.0
251,Flers,FR,2021-03-29 19:52:33,48.7372,-0.5747,51.8,76,0,2.3
252,Bykovo,RU,2021-03-29 19:52:34,55.6361,38.0803,35.6,59,0,2.24
253,Paita,PE,2021-03-29 19:52:34,-5.0892,-81.1144,91.4,40,20,14.97
254,Guymon,US,2021-03-29 19:48:14,36.6828,-101.4816,80.6,14,1,31.07
255,Berdigestyakh,RU,2021-03-29 19:52:35,62.0989,126.6992,9.3,97,100,2.21
256,Bichena,ET,2021-03-29 19:49:08,10.45,38.2,63.0,37,68,0.6
257,Aloleng,PH,2021-03-29 19:52:35,16.1307,119.7824,79.77,76,36,7.31
258,Mao,ES,2021-03-29 19:52:36,39.8885,4.2658,53.6,94,0,6.91
259,Yulara,AU,2021-03-29 19:52:36,-25.2406,130.9889,66.2,48,0,6.91
260,Ariano Irpino,IT,2021-03-29 19:52:36,41.1489,15.0833,54.0,61,0,8.05
261,Razdolinsk,RU,2021-03-29 19:52:37,58.4211,94.6658,23.65,99,100,2.75
262,Pangody,RU,2021-03-29 19:52:37,65.85,74.4859,2.35,92,100,5.55
263,Kaeo,NZ,2021-03-29 19:52:37,-35.1,173.7833,69.01,97,73,8.99
264,Mineral Wells,US,2021-03-29 19:52:39,32.8085,-98.1128,75.99,25,1,18.41
265,Lockhart,US,2021-03-29 19:52:39,28.6194,-81.4426,84.0,54,1,4.61
266,Rtishchevo,RU,2021-03-29 19:52:40,52.2604,43.7874,20.68,94,16,7.61
267,Nizhneangarsk,RU,2021-03-29 19:52:40,55.7833,109.55,23.76,96,100,1.39
268,Longyearbyen,SJ,2021-03-29 19:52:40,78.2186,15.6401,26.6,74,40,27.63
269,Loncoche,CL,2021-03-29 19:52:41,-39.3667,-72.6333,73.4,53,0,4.61
270,Guryevsk,RU,2021-03-29 19:52:41,54.2833,85.9333,24.67,89,100,19.82
271,Marigot,MF,2021-03-29 19:52:41,18.0667,-63.0833,82.4,61,40,17.27
272,Rovaniemi,FI,2021-03-29 19:52:42,66.5,25.7167,32.0,100,90,12.66
273,Kuytun,RU,2021-03-29 19:52:42,54.3419,101.5036,29.77,99,100,2.21
274,Balkanabat,TM,2021-03-29 19:52:42,39.5108,54.3671,52.39,49,6,3.42
275,Ternate,ID,2021-03-29 19:52:43,0.8,127.4,77.31,93,100,14.72
276,Santa Isabel,BR,2021-03-29 19:52:43,-23.3156,-46.2214,89.6,42,40,9.22
277,Eyrarbakki,IS,2021-03-29 19:52:44,63.863,-21.1481,33.8,47,0,8.05
278,Tonantins,BR,2021-03-29 19:52:44,-2.8731,-67.8022,82.31,70,100,3.04
279,Tomatlan,MX,2021-03-29 19:52:44,19.9333,-105.25,89.56,31,59,10.92
280,Cairns,AU,2021-03-29 19:48:24,-16.9167,145.7667,77.0,69,100,10.36
281,Yola,NG,2021-03-29 19:52:45,9.2,12.4833,87.22,13,3,3.83
282,Ningxiang,CN,2021-03-29 19:52:45,37.34,111.2052,46.18,74,0,7.09
283,Novyy Urengoy,RU,2021-03-29 19:52:46,66.0833,76.6333,-0.17,90,100,2.71
284,Marawi,PH,2021-03-29 19:52:46,7.9986,124.2928,75.99,90,95,5.01
285,Port Lincoln,AU,2021-03-29 19:52:47,-34.7333,135.8667,63.91,82,5,7.61
286,Biskamzha,RU,2021-03-29 19:52:47,53.4497,89.5272,19.58,88,94,9.48
