City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Praia Da Vitoria,PT,64.4,few clouds,38.7333,-27.0667,Hotel Branco I
147,Fukue,JP,59.65,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
151,Son La,VN,77.31,scattered clouds,21.3167,103.9,Galaxy Grand Hotel
152,Paraiso,CR,82.4,scattered clouds,9.8383,-83.8656,Rinconcito Verde
153,Namibe,AO,84.2,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
154,Pishin,PK,60.31,clear sky,30.5803,66.9961,City Hotel Pishin
155,Catamarca,AR,78.01,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
156,Shiraz,IR,75.2,clear sky,29.6036,52.5388,Kowsar Hotel
157,Bundaberg,AU,70.0,scattered clouds,-24.85,152.35,Takalvan Motel
158,Kralendijk,BQ,84.2,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
159,Faya,SA,73.4,few clouds,18.3851,42.4509,مقبرة ال مجمل
162,Mount Isa,AU,80.6,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
163,Victoria,HK,79.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
164,Tetiyiv,UA,50.38,overcast clouds,49.3767,29.6647,"Hotel ""Stadium"""
168,Kulhudhuffushi,MV,84.45,scattered clouds,6.6221,73.07,Haajy Guest House 1
170,Poitiers,FR,75.99,clear sky,46.5833,0.3333,ibis Poitiers Centre
171,Hasaki,JP,59.0,light rain,35.7333,140.8333,Hotel Sunrise Choshi
172,Falam,MM,58.77,broken clouds,22.9167,93.6833,Falang Government Guesthouse
174,Half Moon Bay,US,57.2,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
176,Balabac,PH,81.3,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
177,Takoradi,GH,84.24,light rain,4.8845,-1.7554,Raybow International Hotel
178,Hambantota,LK,78.8,broken clouds,6.1241,81.1185,Bungalow 63
182,Victor Harbor,AU,66.0,scattered clouds,-35.5667,138.6167,McCracken Country Club
183,Beni,CD,69.51,overcast clouds,0.5,29.4667,Albertine hotel
185,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
190,Alice Springs,AU,64.4,clear sky,-23.7,133.8833,Desert Palms Alice Springs
191,Pingliang,CN,53.35,overcast clouds,35.5392,106.6861,North Gate Hostel
192,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
194,Acari,PE,77.68,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
196,Beaufort,MY,78.8,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
198,Bandarbeyla,SO,80.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
201,Chuy,UY,70.18,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
205,Sao Filipe,CV,70.3,clear sky,14.8961,-24.4956,Tortuga B&B
206,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
207,Denpasar,ID,80.6,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
209,Mogadishu,SO,84.2,scattered clouds,2.0371,45.3438,Olympic Hotel
210,Doha,QA,82.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
211,Cambrils,ES,64.4,clear sky,41.0748,1.0524,Hotel Sol Port Cambrils
212,Cabo San Lucas,MX,72.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
214,Lahaina,US,70.0,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
215,San Quintin,MX,58.23,clear sky,30.4833,-115.95,Old Mill Hotel
218,Rio Grande,BR,75.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
220,Talcahuano,CL,57.2,overcast clouds,-36.7167,-73.1167,Hotel Terramar
221,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
222,Moranbah,AU,68.95,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
224,Mackay,AU,77.0,broken clouds,-21.15,149.2,International Lodge Motel
226,Beitbridge,ZW,83.64,overcast clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
227,Ponta Delgada,PT,59.0,broken clouds,37.7333,-25.6667,Vila Nova Hotel
229,Nuevo Progreso,MX,75.99,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
230,Tual,ID,83.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
231,Plettenberg Bay,ZA,70.27,clear sky,-34.0527,23.3716,Thanda Vista B&B
234,Muisne,EC,78.8,broken clouds,0.6,-80.0333,Quinta Samay
238,Karuzi,BI,65.5,moderate rain,-3.125,30.1333,Hôtel Cercle La Girafe
